"Provincia" "Municipio" "Partido" "VotosMuni" "PorcMuni" "Votos" "Porc" "VotosCCAA" "PorcCCAA"
"182" "AVILA" "BERROCALEJO DE ARAGONA" "PP" 4 11.1111111111111 27829 34.060755899344 381498 31.4222622335374
"183" "AVILA" "BERROCALEJO DE ARAGONA" "PSOE" 14 38.8888888888889 19764 24.1897581513757 364528 30.0245202005434
"184" "AVILA" "BERROCALEJO DE ARAGONA" "PYC(ANULADA)" 0 0 0 0 0 0
"185" "AVILA" "BERROCALEJO DE ARAGONA" "VOX" 2 5.55555555555556 14246 17.4361108391266 214223 17.6445781693615
"186" "AVILA" "BERROCALEJO DE ARAGONA" "XAV" 7 19.4444444444444 13690 16.755605600705 13861 1.14166778546431
"187" "AVILA" "BERROCALEJO DE ARAGONA" "Votos en blanco" 0 0 625 0.764956428081856 12153 1.00098756199031
"188" "AVILA" "BLASCOMILLAN" "Cs" 4 3.10077519379845 1926 2.35728972877705 54538 4.49204802565849
"189" "AVILA" "BLASCOMILLAN" "FEdelasJONS" 1 0.775193798449612 79 0.0966904925095467 317 0.0261098541225153
"190" "AVILA" "BLASCOMILLAN" "PACMA" 0 0 367 0.449182414569666 6508 0.536034481480536
"191" "AVILA" "BLASCOMILLAN" "PCAS" 0 0 194 0.237442475276608 2834 0.233423743164696
"192" "AVILA" "BLASCOMILLAN" "Podemos" 3 2.32558139534884 2984 3.65220797023402 61666 5.07914909879821
"193" "AVILA" "BLASCOMILLAN" "PP" 66 51.1627906976744 27829 34.060755899344 381498 31.4222622335374
"194" "AVILA" "BLASCOMILLAN" "PSOE" 24 18.6046511627907 19764 24.1897581513757 364528 30.0245202005434
"195" "AVILA" "BLASCOMILLAN" "PYC(ANULADA)" 0 0 0 0 0 0
"196" "AVILA" "BLASCOMILLAN" "VOX" 18 13.953488372093 14246 17.4361108391266 214223 17.6445781693615
"197" "AVILA" "BLASCOMILLAN" "XAV" 13 10.077519379845 13690 16.755605600705 13861 1.14166778546431
"198" "AVILA" "BLASCOMILLAN" "Votos en blanco" 0 0 625 0.764956428081856 12153 1.00098756199031
"199" "AVILA" "BLASCONUÑO DE MATACABRAS" "Cs" 0 0 1926 2.35728972877705 54538 4.49204802565849
"200" "AVILA" "BLASCONUÑO DE MATACABRAS" "FEdelasJONS" 0 0 79 0.0966904925095467 317 0.0261098541225153
"201" "AVILA" "BLASCONUÑO DE MATACABRAS" "PACMA" 0 0 367 0.449182414569666 6508 0.536034481480536
"202" "AVILA" "BLASCONUÑO DE MATACABRAS" "PCAS" 0 0 194 0.237442475276608 2834 0.233423743164696
"203" "AVILA" "BLASCONUÑO DE MATACABRAS" "Podemos" 0 0 2984 3.65220797023402 61666 5.07914909879821
"204" "AVILA" "BLASCONUÑO DE MATACABRAS" "PP" 5 41.6666666666667 27829 34.060755899344 381498 31.4222622335374
"205" "AVILA" "BLASCONUÑO DE MATACABRAS" "PSOE" 3 25 19764 24.1897581513757 364528 30.0245202005434
"206" "AVILA" "BLASCONUÑO DE MATACABRAS" "PYC(ANULADA)" 0 0 0 0 0 0
"207" "AVILA" "BLASCONUÑO DE MATACABRAS" "VOX" 4 33.3333333333333 14246 17.4361108391266 214223 17.6445781693615
"208" "AVILA" "BLASCONUÑO DE MATACABRAS" "XAV" 0 0 13690 16.755605600705 13861 1.14166778546431
"209" "AVILA" "BLASCONUÑO DE MATACABRAS" "Votos en blanco" 0 0 625 0.764956428081856 12153 1.00098756199031
"210" "AVILA" "BLASCOSANCHO" "Cs" 1 1.40845070422535 1926 2.35728972877705 54538 4.49204802565849
"211" "AVILA" "BLASCOSANCHO" "FEdelasJONS" 0 0 79 0.0966904925095467 317 0.0261098541225153
"212" "AVILA" "BLASCOSANCHO" "PACMA" 0 0 367 0.449182414569666 6508 0.536034481480536
"213" "AVILA" "BLASCOSANCHO" "PCAS" 0 0 194 0.237442475276608 2834 0.233423743164696
"214" "AVILA" "BLASCOSANCHO" "Podemos" 3 4.22535211267606 2984 3.65220797023402 61666 5.07914909879821
"215" "AVILA" "BLASCOSANCHO" "PP" 25 35.2112676056338 27829 34.060755899344 381498 31.4222622335374
"216" "AVILA" "BLASCOSANCHO" "PSOE" 27 38.0281690140845 19764 24.1897581513757 364528 30.0245202005434
