"Provincia"	"Municipio"	"Partido"	"VotosMuni"
"345"	"AVILA"	"CABIZUELA"	"VOX"	7
"346"	"AVILA"	"CABIZUELA"	"XAV"	11
"347"	"AVILA"	"CABIZUELA"	"Votos en blanco"	0
"348"	"AVILA"	"CABIZUELA"	"Votos nulos"	0
"349"	"AVILA"	"CANALES"	"ÁvilaLP"	0
"350"	"AVILA"	"CANALES"	"Cs"	1
"351"	"AVILA"	"CANALES"	"FE de las JONS"	0
"352"	"AVILA"	"CANALES"	"IU"	0
"353"	"AVILA"	"CANALES"	"PACMA"	0
"354"	"AVILA"	"CANALES"	"Podemos"	0
"355"	"AVILA"	"CANALES"	"PP"	20
"356"	"AVILA"	"CANALES"	"PSOE"	12
"357"	"AVILA"	"CANALES"	"VOX"	2
"358"	"AVILA"	"CANALES"	"XAV"	0
"359"	"AVILA"	"CANALES"	"Votos en blanco"	1
"360"	"AVILA"	"CANALES"	"Votos nulos"	0
"361"	"AVILA"	"CANDELEDA"	"ÁvilaLP"	4
"362"	"AVILA"	"CANDELEDA"	"Cs"	234
"363"	"AVILA"	"CANDELEDA"	"FE de las JONS"	4
"364"	"AVILA"	"CANDELEDA"	"IU"	17
"365"	"AVILA"	"CANDELEDA"	"PACMA"	19
"366"	"AVILA"	"CANDELEDA"	"Podemos"	105
"367"	"AVILA"	"CANDELEDA"	"PP"	860
"368"	"AVILA"	"CANDELEDA"	"PSOE"	1894
"369"	"AVILA"	"CANDELEDA"	"VOX"	145
"370"	"AVILA"	"CANDELEDA"	"XAV"	7
"371"	"AVILA"	"CANDELEDA"	"Votos en blanco"	37
"372"	"AVILA"	"CANDELEDA"	"Votos nulos"	61
"373"	"AVILA"	"CANTIVEROS"	"ÁvilaLP"	1
"374"	"AVILA"	"CANTIVEROS"	"Cs"	12
"375"	"AVILA"	"CANTIVEROS"	"FE de las JONS"	0
"376"	"AVILA"	"CANTIVEROS"	"IU"	1
"377"	"AVILA"	"CANTIVEROS"	"PACMA"	0
"378"	"AVILA"	"CANTIVEROS"	"Podemos"	1
"379"	"AVILA"	"CANTIVEROS"	"PP"	46
"380"	"AVILA"	"CANTIVEROS"	"PSOE"	29
"381"	"AVILA"	"CANTIVEROS"	"VOX"	5
"382"	"AVILA"	"CANTIVEROS"	"XAV"	0
"383"	"AVILA"	"CANTIVEROS"	"Votos en blanco"	2
"384"	"AVILA"	"CANTIVEROS"	"Votos nulos"	1
"385"	"AVILA"	"CARDEÑOSA"	"ÁvilaLP"	6
"386"	"AVILA"	"CARDEÑOSA"	"Cs"	53
"387"	"AVILA"	"CARDEÑOSA"	"FE de las JONS"	3
"388"	"AVILA"	"CARDEÑOSA"	"IU"	5
"389"	"AVILA"	"CARDEÑOSA"	"PACMA"	6
"390"	"AVILA"	"CARDEÑOSA"	"Podemos"	7
"391"	"AVILA"	"CARDEÑOSA"	"PP"	111
"392"	"AVILA"	"CARDEÑOSA"	"PSOE"	115
"393"	"AVILA"	"CARDEÑOSA"	"VOX"	10
"394"	"AVILA"	"CARDEÑOSA"	"XAV"	8
