Código.de.mesa;Provincia;Código..municipio;Municipio;Distrito;Sección;Mesa;Censo;Primer.Avance;Segundo.Avance;Total.Votantes;Votos.Nulos;Votos.Blanco;Partido;Nº.Votos
183;05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;PP;12
184;05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;Podemos;3
185;05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;XAV;1
186;05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;PACMA;0
187;05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;FEdelasJONS;0
188;05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;PYC(ANULADA);0
189;05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;Cs;0
190;05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;PCAS;0
191;05-016-1-001-U;AVILA;16;AREVALO;1;1;U;778;258;398;474;8;2;PP;169
192;05-016-1-001-U;AVILA;16;AREVALO;1;1;U;778;258;398;474;8;2;PSOE;144
193;05-016-1-001-U;AVILA;16;AREVALO;1;1;U;778;258;398;474;8;2;VOX;95
194;05-016-1-001-U;AVILA;16;AREVALO;1;1;U;778;258;398;474;8;2;XAV;26
195;05-016-1-001-U;AVILA;16;AREVALO;1;1;U;778;258;398;474;8;2;Cs;15
196;05-016-1-001-U;AVILA;16;AREVALO;1;1;U;778;258;398;474;8;2;Podemos;9
197;05-016-1-001-U;AVILA;16;AREVALO;1;1;U;778;258;398;474;8;2;PCAS;3
198;05-016-1-001-U;AVILA;16;AREVALO;1;1;U;778;258;398;474;8;2;PACMA;2
199;05-016-1-001-U;AVILA;16;AREVALO;1;1;U;778;258;398;474;8;2;FEdelasJONS;1
200;05-016-1-001-U;AVILA;16;AREVALO;1;1;U;778;258;398;474;8;2;PYC(ANULADA);0
201;05-016-2-001-A;AVILA;16;AREVALO;2;1;A;691;218;353;455;9;2;PP;182
202;05-016-2-001-A;AVILA;16;AREVALO;2;1;A;691;218;353;455;9;2;PSOE;107
203;05-016-2-001-A;AVILA;16;AREVALO;2;1;A;691;218;353;455;9;2;VOX;99
204;05-016-2-001-A;AVILA;16;AREVALO;2;1;A;691;218;353;455;9;2;XAV;23
205;05-016-2-001-A;AVILA;16;AREVALO;2;1;A;691;218;353;455;9;2;Podemos;18
206;05-016-2-001-A;AVILA;16;AREVALO;2;1;A;691;218;353;455;9;2;Cs;9
207;05-016-2-001-A;AVILA;16;AREVALO;2;1;A;691;218;353;455;9;2;PACMA;5
